"IndexName","Date","Total Returns Index"
"NIFTY 50","30 Dec 2022","26326.37"
"NIFTY 50","29 Dec 2022","26451.02"
"NIFTY 50","28 Dec 2022","26351.40"
"NIFTY 50","27 Dec 2022","26365.65"
"NIFTY 50","26 Dec 2022","26194.52"
"NIFTY 50","23 Dec 2022","25892.35"
"NIFTY 50","22 Dec 2022","26358.44"
"NIFTY 50","21 Dec 2022","26462.77"
"NIFTY 50","20 Dec 2022","26733.51"
"NIFTY 50","19 Dec 2022","26784.68"
"NIFTY 50","16 Dec 2022","26564.46"
"NIFTY 50","15 Dec 2022","26776.56"
"NIFTY 50","14 Dec 2022","27133.40"
"NIFTY 50","13 Dec 2022","27057.35"
"NIFTY 50","12 Dec 2022","26896.21"
"NIFTY 50","09 Dec 2022","26895.35"
"NIFTY 50","08 Dec 2022","27059.31"
"NIFTY 50","07 Dec 2022","26988.31"
"NIFTY 50","06 Dec 2022","27107.87"
"NIFTY 50","05 Dec 2022","27192.64"
"NIFTY 50","02 Dec 2022","27185.44"
"NIFTY 50","01 Dec 2022","27354.74"
"NIFTY 50","30 Nov 2022","27276.01"
"NIFTY 50","29 Nov 2022","27071.98"
"NIFTY 50","28 Nov 2022","26991.60"
"NIFTY 50","25 Nov 2022","26918.89"
"NIFTY 50","24 Nov 2022","26877.24"
"NIFTY 50","23 Nov 2022","26561.89"
"NIFTY 50","22 Nov 2022","26528.40"
"NIFTY 50","21 Nov 2022","26405.90"
"NIFTY 50","18 Nov 2022","26620.61"
"NIFTY 50","17 Nov 2022","26673.32"
"NIFTY 50","16 Nov 2022","26768.95"
"NIFTY 50","15 Nov 2022","26759.85"
"NIFTY 50","14 Nov 2022","26651.93"
"NIFTY 50","11 Nov 2022","26681.76"
"NIFTY 50","10 Nov 2022","26214.31"
"NIFTY 50","09 Nov 2022","26401.58"
"NIFTY 50","07 Nov 2022","26464.44"
"NIFTY 50","04 Nov 2022","26339.90"
"NIFTY 50","03 Nov 2022","26246.23"
"NIFTY 50","02 Nov 2022","26290.01"
"NIFTY 50","01 Nov 2022","26380.97"
"NIFTY 50","31 Oct 2022","26182.36"
"NIFTY 50","28 Oct 2022","25852.72"
"NIFTY 50","27 Oct 2022","25780.23"
"NIFTY 50","25 Oct 2022","25643.34"
"NIFTY 50","24 Oct 2022","25751.45"
"NIFTY 50","21 Oct 2022","25527.09"
"NIFTY 50","20 Oct 2022","25509.14"
"NIFTY 50","19 Oct 2022","25434.10"
"NIFTY 50","18 Oct 2022","25393.89"
"NIFTY 50","17 Oct 2022","25139.55"
"NIFTY 50","14 Oct 2022","24953.75"
"NIFTY 50","13 Oct 2022","24704.95"
"NIFTY 50","12 Oct 2022","24863.58"
"NIFTY 50","11 Oct 2022","24660.20"
"NIFTY 50","10 Oct 2022","25034.02"
"NIFTY 50","07 Oct 2022","25140.99"
"NIFTY 50","06 Oct 2022","25165.85"
"NIFTY 50","04 Oct 2022","25082.39"
"NIFTY 50","03 Oct 2022","24520.52"
"NIFTY 50","30 Sep 2022","24821.08"
"NIFTY 50","29 Sep 2022","24419.98"
"NIFTY 50","28 Sep 2022","24478.82"
"NIFTY 50","27 Sep 2022","24694.83"
"NIFTY 50","26 Sep 2022","24707.77"
"NIFTY 50","23 Sep 2022","25159.42"
"NIFTY 50","22 Sep 2022","25598.60"
"NIFTY 50","21 Sep 2022","25727.13"
"NIFTY 50","20 Sep 2022","25869.27"
