Date,Price,Open,High,Low,Vol.,Change %
10-01-2025,"3,56,747","3,42,851","3,56,919",345,,4.06%
09-01-2025,"3,42,844","3,04,035","3,43,797","3,03,036",,12.77%
08-01-2025,"3,04,032","2,87,959","3,04,396","2,87,173",,5.55%
07-01-2025,"2,88,034","2,83,056","2,96,867","2,81,344",,1.76%
06-01-2025,"2,83,062","2,81,359","2,97,214","2,77,546",,0.62%
05-01-2025,"2,81,325","2,78,282","2,89,890","2,67,485",,1.12%
04-01-2025,"2,78,203","2,66,963","2,97,801","2,53,917",,4.21%
03-01-2025,"2,66,956","2,49,879","2,67,486","2,49,778",,6.76%
02-01-2025,"2,50,046","2,42,492","2,57,607","2,40,323",,3.12%
01-01-2025,"2,42,473","2,24,734","2,44,010","2,24,146",,8.02%
12-01-2024,"2,24,478","2,24,418","2,31,300","2,19,325",,0.04%
11-01-2024,"2,24,381","2,30,674","2,32,203","2,14,107",,-2.72%
10-01-2024,"2,30,649","2,20,746","2,34,642","2,18,664",,4.54%
09-01-2024,"2,20,641","2,09,909","2,24,597","2,07,527",,5.11%
08-01-2024,"2,09,922","2,04,870","2,12,249","1,98,953",,2.51%
07-01-2024,"2,04,775","1,93,934","2,07,499","1,93,423",,5.59%
06-01-2024,"1,93,935","1,94,097","1,99,284","1,90,922",,-0.09%
05-01-2024,"1,94,119","1,90,804","2,04,021","1,89,972",,1.77%
04-01-2024,"1,90,744","1,86,733","2,03,243","1,85,833",,2.51%
03-01-2024,"1,86,069","1,69,480","1,86,428","1,68,965",,9.82%
02-01-2024,"1,69,428","1,69,538","1,71,362","1,64,782",,-0.01%
01-01-2024,"1,69,443","1,71,703","1,73,233","1,66,489",,-1.25%
12-01-2023,"1,71,587","1,69,812","1,75,847","1,64,534",,1.09%
11-01-2023,"1,69,740","1,65,232","1,71,032","1,60,837",,2.80%
10-01-2023,"1,65,121","1,53,459","1,67,334","1,50,700",,7.59%
09-01-2023,"1,53,465","1,60,430","1,61,529","1,53,311",,-4.33%
08-01-2023,"1,60,412","1,61,617","1,61,702","1,56,658",,-0.72%
07-01-2023,"1,61,568","1,57,575","1,63,051","1,56,439",,2.53%
06-01-2023,"1,57,581","1,62,256","1,63,289","1,55,404",,-2.83%
05-01-2023,"1,62,177","1,62,783","1,69,554","1,59,871",,-0.24%
04-01-2023,"1,62,574","1,61,974","1,67,338","1,60,702",,0.51%
03-01-2023,"1,61,748","1,51,077","1,66,191","1,48,359",,7.14%
02-01-2023,"1,50,965","1,57,685","1,60,925","1,49,223",,-4.17%
01-01-2023,"1,57,527","1,50,914","1,58,902","1,50,585",,4.39%
12-01-2022,"1,50,909","1,43,966","1,51,995","1,43,804",,4.92%
11-01-2022,"1,43,831","1,35,208","1,45,124","1,33,975",,6.41%
10-01-2022,"1,35,166","1,35,431","1,41,339","1,33,921",,-0.09%
09-01-2022,"1,35,288","1,36,038","1,37,844","1,32,015",,-0.47%
08-01-2022,"1,35,921","1,40,058","1,43,678","1,35,845",,-2.97%
07-01-2022,"1,40,075","1,42,687","1,43,360","1,34,205",,-1.78%
06-01-2022,"1,42,618","1,42,548","1,46,705","1,40,802",,0.09%
05-01-2022,"1,42,486","1,45,118","1,45,714","1,39,190",,-1.81%
04-01-2022,"1,45,115","1,47,083","1,52,389","1,43,543",,-1.25%
03-01-2022,"1,46,952","1,44,149","1,59,633","1,42,828",,2.01%
02-01-2022,"1,44,063","1,34,041","1,49,374","1,33,710",,7.58%
01-01-2022,"1,33,911","1,36,319","1,38,592","1,32,466",,-1.65%
12-01-2021,"1,36,155","1,33,295","1,37,852","1,31,976",,2.22%
11-01-2021,"1,33,193","1,33,627","1,39,625","1,31,021",,-0.27%
10-01-2021,"1,33,560","1,30,343","1,35,976","1,29,648",,2.54%
09-01-2021,"1,30,253","1,32,340","1,33,917","1,27,872",,-1.49%
08-01-2021,"1,32,225","1,34,885","1,35,849","1,25,081",,-1.92%
07-01-2021,"1,34,817","1,31,642","1,36,722","1,31,300",,2.45%
06-01-2021,"1,31,594","1,38,331","1,39,470","1,30,074",,-4.88%
05-01-2021,"1,38,344","1,31,037","1,39,226","1,30,674",,5.64%
04-01-2021,"1,30,964","1,24,899","1,35,765","1,24,749",,4.89%
03-01-2021,"1,24,864","1,28,162","1,29,461","1,22,950",,-2.56%
02-01-2021,"1,28,140","1,35,828","1,36,717","1,26,969",,-4.76%
01-01-2021,"1,34,538","1,38,653","1,43,253","1,32,399",,-2.95%
12-01-2020,"1,38,629","1,31,509","1,40,454","1,31,099",,5.46%
11-01-2020,"1,31,450","1,40,108","1,45,377","1,30,463",,-6.14%
10-01-2020,"1,40,049","1,38,738","1,42,141","1,37,557",,0.97%
09-01-2020,"1,38,702","1,44,157","1,45,747","1,36,301",,-3.76%
08-01-2020,"1,44,118","1,48,030","1,55,298","1,39,166",,-2.60%
07-01-2020,"1,47,959","1,34,565","1,48,457","1,31,365",,10.03%
06-01-2020,"1,34,468","1,31,477","1,34,909","1,26,486",,2.86%
05-01-2020,"1,30,734","1,26,669","1,34,233","1,26,303",,3.29%
04-01-2020,"1,26,568","1,18,851","1,33,751","1,17,955",,6.92%
