lead_id,age
H202500000,29
H202500000,41
H202500000,42
H202500000,44
H202500000,47
H202500001,33
H202500001,51
H202500001,56
H202500001,61
H202500001,72
H202500002,38
H202500002,49
H202500002,54
H202500002,77
H202500003,20
H202500003,23
H202500003,34
H202500004,24
H202500004,49
H202500005,24
H202500005,31
H202500006,53
H202500006,55
H202500006,81
H202500007,70
H202500007,80
H202500008,17
H202500008,32
H202500008,34
H202500008,37
H202500008,49
H202500009,20
H202500009,31
H202500009,33
H202500009,39
H202500010,7
H202500010,35
H202500010,49
H202500010,49
H202500010,55
H202500011,44
H202500012,17
H202500012,25
H202500012,62
H202500013,17
H202500013,43
H202500013,47
H202500013,49
H202500013,53
H202500014,34
H202500014,35
H202500014,43
H202500014,53
H202500014,55
H202500015,20
H202500015,41
H202500015,50
H202500015,51
H202500016,32
H202500016,34
H202500016,49
H202500016,54
H202500016,76
H202500017,26
H202500017,41
H202500017,47
H202500017,51
H202500017,57
H202500017,66
H202500018,27
H202500018,27
H202500018,29
H202500018,38
H202500019,44
H202500020,25
H202500020,31
H202500020,53
H202500021,22
H202500021,28
H202500021,32
H202500021,42
H202500021,48
H202500022,22
H202500022,51
H202500023,13
H202500023,14
H202500023,28
H202500023,33
H202500023,55
H202500024,37
H202500024,44
H202500024,55
H202500024,69
H202500025,29
H202500025,34
H202500026,30
H202500026,40
H202500026,72
H202500027,22
H202500027,49
H202500027,56
H202500027,58
H202500028,15
H202500028,36
H202500028,77
H202500029,40
H202500029,64
H202500029,72
H202500029,83
H202500030,25
H202500030,44
H202500030,45
H202500031,12
H202500031,35
H202500031,38
H202500031,48
H202500031,48
H202500031,50
H202500032,40
H202500032,59
H202500032,81
H202500033,25
H202500033,42
H202500033,46
H202500034,38
H202500035,22
H202500035,42
H202500035,47
H202500035,48
H202500036,18
H202500036,33
H202500036,36
H202500036,55
H202500037,25
H202500037,45
H202500037,46
H202500037,72
H202500037,82
H202500038,21
H202500038,36
H202500038,41
H202500038,72
H202500039,30
H202500039,46
H202500039,72
H202500040,12
H202500040,22
H202500040,41
H202500040,41
H202500040,43
H202500040,45
H202500041,33
H202500041,46
H202500041,50
H202500042,9
H202500042,37
H202500042,45
H202500042,54
H202500043,18
H202500043,23
H202500043,32
H202500043,66
H202500044,31
H202500044,66
H202500045,12
H202500045,27
H202500045,43
H202500045,55
H202500046,28
H202500046,46
H202500046,82
H202500047,14
H202500047,82
H202500048,3
H202500048,12
H202500048,22
H202500048,73
H202500049,35
H202500049,41
H202500049,44
H202500050,26
H202500050,31
H202500050,52
H202500050,79
H202500051,1
H202500051,45
H202500051,73
H202500052,25
H202500052,37
H202500052,39
H202500053,24
H202500053,35
H202500053,51
H202500054,29
H202500054,44
H202500054,50
H202500054,54
H202500055,42
H202500055,48
H202500055,49
H202500055,50
H202500055,69
H202500056,39
H202500056,42
H202500056,49
H202500056,73
H202500057,14
H202500057,21
H202500057,37
H202500057,67
H202500058,37
H202500058,38
H202500058,68
H202500058,79
H202500059,24
H202500059,47
H202500059,61
H202500059,67
H202500060,34
H202500060,41
H202500060,48
H202500060,50
H202500060,63
H202500061,38
H202500061,39
H202500061,80
H202500062,29
H202500062,33
H202500062,39
H202500062,54
H202500063,10
H202500063,36
H202500063,51
H202500063,72
H202500064,12
H202500064,15
H202500064,54
H202500065,38
H202500065,40
H202500065,40
H202500065,61
H202500066,8
H202500066,14
H202500066,23
H202500066,45
H202500067,1
H202500067,54
H202500067,58
H202500067,81
H202500068,25
H202500068,31
H202500068,34
H202500068,51
H202500069,20
H202500069,28
H202500069,72
H202500070,44
H202500070,44
H202500070,50
H202500070,62
H202500070,72
H202500071,9
H202500071,20
H202500071,26
H202500071,55
H202500072,25
H202500072,34
H202500072,44
H202500072,54
H202500072,62
H202500073,7
H202500073,26
H202500073,29
H202500073,53
H202500073,72
H202500074,1
H202500074,3
H202500074,30
H202500074,52
H202500074,53
H202500075,20
H202500075,20
H202500075,28
H202500075,33
H202500075,46
H202500076,32
H202500076,34
H202500076,50
H202500076,78
H202500077,23
H202500077,25
H202500077,30
H202500077,31
H202500077,37
H202500078,28
H202500078,32
H202500078,45
H202500078,51
H202500079,32
H202500079,67
H202500079,69
H202500080,30
H202500081,24
H202500081,34
H202500081,40
H202500081,46
H202500081,53
H202500081,72
H202500082,48
H202500082,51
H202500083,30
H202500083,32
H202500083,32
H202500083,45
H202500083,46
H202500084,28
H202500084,32
H202500084,38
H202500084,40
H202500084,55
H202500085,23
H202500085,60
H202500085,80
H202500086,25
H202500086,34
H202500086,52
H202500086,54
H202500086,69
H202500087,26
H202500087,40
H202500087,54
H202500088,1
H202500088,45
H202500088,45
H202500088,54
H202500088,70
H202500089,32
H202500089,38
H202500089,39
H202500089,48
H202500090,35
H202500090,52
H202500090,75
H202500091,0
H202500091,28
H202500091,42
H202500091,50
H202500092,10
H202500092,13
H202500092,38
H202500092,46
H202500092,50
H202500093,26
H202500093,36
H202500093,47
H202500093,50
H202500093,60
H202500094,23
H202500094,41
H202500094,75
H202500095,5
H202500095,20
H202500095,43
H202500095,61
H202500096,34
H202500096,34
H202500096,44
H202500096,62
H202500097,8
H202500097,34
H202500097,68
H202500098,20
H202500098,29
H202500098,40
H202500098,51
H202500098,53
H202500099,4
H202500099,40
H202500099,41
H202500099,45
H202500100,22
H202500100,40
H202500100,65
H202500100,70
H202500101,14
H202500101,44
H202500101,47
H202500102,0
H202500102,3
H202500102,36
H202500102,45
H202500102,50
H202500103,25
H202500103,29
H202500103,41
H202500103,51
H202500104,20
H202500104,38
H202500104,53
H202500104,55
H202500104,70
H202500105,13
H202500105,20
H202500105,25
H202500106,40
H202500106,48
H202500106,56
H202500106,62
H202500107,5
H202500107,33
H202500107,40
H202500108,34
H202500108,45
H202500108,64
H202500108,72
H202500109,18
H202500109,27
H202500109,29
H202500110,19
H202500111,28
H202500111,28
H202500111,32
