lead_id,policy_id,type,sum_insured,premium,riders,co_pay_percent,room_rent_rule
H202500000,H202500000-P1,motor,300000,3250,,0,
H202500002,H202500002-P1,health,700000,34793,accidental_cover,0,No Cap
H202500004,H202500004-P1,health,300000,30692,,0,Single Private Room
H202500004,H202500004-P2,life,20000000,22008,critical_illness,0,
H202500005,H202500005-P1,motor,300000,9368,,0,
H202500008,H202500008-P1,motor,300000,8811,,0,
H202500010,H202500010-P1,motor,500000,9873,,0,
H202500010,H202500010-P2,life,5000000,26173,room_upgrade;hospital_cash,0,
H202500012,H202500012-P1,life,5000000,15506,,0,
H202500015,H202500015-P1,life,5000000,42247,room_upgrade,0,
H202500016,H202500016-P1,motor,800000,11825,,0,
H202500017,H202500017-P1,health,1000000,8885,hospital_cash,0,No Cap
H202500018,H202500018-P1,life,5000000,41308,accidental_cover;critical_illness,0,
H202500019,H202500019-P1,life,10000000,34049,critical_illness;accidental_cover,0,
H202500020,H202500020-P1,motor,300000,10122,,0,
H202500021,H202500021-P1,life,10000000,30198,,0,
H202500021,H202500021-P2,life,2500000,17224,,0,
H202500022,H202500022-P1,motor,800000,9366,,0,
H202500022,H202500022-P2,motor,800000,5031,,0,
H202500023,H202500023-P1,health,2000000,16609,,0,Single Private Room
H202500024,H202500024-P1,health,1000000,17106,room_upgrade,10,1% of SI
H202500026,H202500026-P1,life,20000000,25902,,0,
H202500028,H202500028-P1,motor,500000,11748,,0,
H202500032,H202500032-P1,motor,300000,10185,,0,
H202500033,H202500033-P1,health,1000000,18232,critical_illness,0,No Cap
H202500033,H202500033-P2,life,5000000,14793,hospital_cash;critical_illness,0,
H202500035,H202500035-P1,life,5000000,10040,,0,
H202500037,H202500037-P1,life,5000000,44130,accidental_cover;critical_illness,0,
H202500038,H202500038-P1,motor,500000,7373,,0,
H202500039,H202500039-P1,health,500000,25115,critical_illness,0,Single Private Room
H202500040,H202500040-P1,motor,800000,10525,,0,
H202500043,H202500043-P1,health,300000,33400,room_upgrade,0,1% of SI
H202500043,H202500043-P2,life,2500000,8607,critical_illness,0,
H202500044,H202500044-P1,motor,300000,3517,,0,
H202500046,H202500046-P1,health,700000,21171,room_upgrade;hospital_cash,10,No Cap
H202500047,H202500047-P1,health,700000,27080,room_upgrade;hospital_cash,0,1% of SI
H202500049,H202500049-P1,life,5000000,43529,critical_illness;hospital_cash,0,
H202500050,H202500050-P1,health,700000,19304,accidental_cover,0,Single Private Room
H202500054,H202500054-P1,motor,800000,8316,,0,
H202500056,H202500056-P1,motor,500000,9352,,0,
H202500057,H202500057-P1,life,2500000,36925,accidental_cover;room_upgrade,0,
H202500060,H202500060-P1,health,700000,18044,accidental_cover,10,No Cap
H202500061,H202500061-P1,health,1000000,18644,,0,Single Private Room
H202500062,H202500062-P1,health,300000,14011,,10,No Cap
H202500065,H202500065-P1,life,2500000,43122,accidental_cover,0,
H202500066,H202500066-P1,life,5000000,14027,critical_illness,0,
H202500066,H202500066-P2,health,1000000,7659,,20,Single Private Room
H202500069,H202500069-P1,motor,300000,11765,,0,
H202500070,H202500070-P1,life,2500000,28887,critical_illness,0,
H202500073,H202500073-P1,motor,800000,9081,,0,
H202500075,H202500075-P1,health,1000000,15900,room_upgrade;hospital_cash,0,No Cap
H202500076,H202500076-P1,health,700000,13318,hospital_cash;accidental_cover,0,Single Private Room
H202500077,H202500077-P1,life,20000000,36116,room_upgrade,0,
H202500078,H202500078-P1,health,700000,29301,critical_illness;accidental_cover,0,1% of SI
H202500079,H202500079-P1,health,1000000,16833,,0,No Cap
H202500080,H202500080-P1,life,10000000,19984,,0,
H202500082,H202500082-P1,motor,800000,2502,,0,
H202500084,H202500084-P1,motor,800000,9339,,0,
H202500087,H202500087-P1,health,500000,6778,hospital_cash,0,No Cap
H202500089,H202500089-P1,health,2000000,8686,accidental_cover,20,No Cap
H202500092,H202500092-P1,life,5000000,30457,critical_illness,0,
H202500095,H202500095-P1,motor,800000,8203,,0,
H202500097,H202500097-P1,motor,800000,10037,,0,
H202500097,H202500097-P2,life,2500000,8774,accidental_cover;room_upgrade,0,
H202500098,H202500098-P1,health,500000,32667,room_upgrade,0,Single Private Room
H202500099,H202500099-P1,life,20000000,35131,,0,
H202500099,H202500099-P2,health,300000,10097,accidental_cover;hospital_cash,0,1% of SI
H202500100,H202500100-P1,health,300000,20478,hospital_cash,10,Single Private Room
H202500101,H202500101-P1,health,500000,10476,critical_illness,10,1% of SI
H202500102,H202500102-P1,health,2000000,27823,,10,Single Private Room
H202500103,H202500103-P1,motor,800000,4259,,0,
H202500105,H202500105-P1,motor,300000,7479,,0,
H202500108,H202500108-P1,health,1000000,18953,accidental_cover;hospital_cash,20,1% of SI
H202500109,H202500109-P1,health,300000,18340,critical_illness;accidental_cover,0,No Cap
H202500111,H202500111-P1,health,2000000,11178,critical_illness,20,1% of SI
H202500111,H202500111-P2,motor,300000,5516,,0,
H202500112,H202500112-P1,health,700000,19534,,0,No Cap
H202500113,H202500113-P1,health,1000000,33193,room_upgrade;critical_illness,20,No Cap
H202500114,H202500114-P1,health,500000,12647,,20,Single Private Room
H202500115,H202500115-P1,life,10000000,32834,,0,
H202500117,H202500117-P1,life,2500000,17784,critical_illness,0,
H202500118,H202500118-P1,motor,800000,4674,,0,
H202500118,H202500118-P2,health,300000,21052,critical_illness,0,Single Private Room
H202500120,H202500120-P1,life,20000000,38227,,0,
H202500121,H202500121-P1,life,10000000,40394,critical_illness;room_upgrade,0,
H202500123,H202500123-P1,motor,800000,3779,,0,
H202500124,H202500124-P1,health,2000000,32926,,10,Single Private Room
H202500124,H202500124-P2,life,5000000,36847,accidental_cover;critical_illness,0,
H202500125,H202500125-P1,health,700000,23944,,0,No Cap
H202500127,H202500127-P1,life,2500000,43397,,0,
H202500128,H202500128-P1,health,700000,7836,critical_illness,10,No Cap
H202500128,H202500128-P2,health,2000000,21019,accidental_cover;hospital_cash,20,No Cap
H202500129,H202500129-P1,motor,800000,8662,,0,
H202500132,H202500132-P1,motor,500000,6046,,0,
H202500133,H202500133-P1,health,1000000,12060,room_upgrade,0,1% of SI
H202500138,H202500138-P1,life,20000000,17146,critical_illness;room_upgrade,0,
H202500142,H202500142-P1,health,2000000,13110,accidental_cover;room_upgrade,0,1% of SI
H202500143,H202500143-P1,life,5000000,12561,hospital_cash,0,
H202500143,H202500143-P2,health,300000,28090,critical_illness,10,Single Private Room
H202500145,H202500145-P1,life,20000000,39945,,0,
H202500147,H202500147-P1,life,5000000,35152,hospital_cash,0,
H202500150,H202500150-P1,motor,300000,6644,,0,
H202500150,H202500150-P2,motor,500000,7567,,0,
H202500151,H202500151-P1,motor,500000,4729,,0,
H202500152,H202500152-P1,life,5000000,13836,accidental_cover,0,
H202500153,H202500153-P1,health,700000,13695,hospital_cash,20,1% of SI
H202500156,H202500156-P1,life,10000000,16604,critical_illness,0,
H202500157,H202500157-P1,life,10000000,31295,critical_illness,0,
H202500158,H202500158-P1,motor,800000,8971,,0,
H202500159,H202500159-P1,motor,800000,11581,,0,
H202500161,H202500161-P1,motor,800000,4206,,0,
H202500161,H202500161-P2,motor,300000,9673,,0,
H202500162,H202500162-P1,life,20000000,38064,hospital_cash;critical_illness,0,
H202500163,H202500163-P1,motor,300000,11027,,0,
H202500164,H202500164-P1,health,700000,20886,,0,1% of SI
H202500166,H202500166-P1,health,2000000,8790,,20,1% of SI
H202500167,H202500167-P1,motor,300000,3465,,0,
H202500167,H202500167-P2,motor,500000,5473,,0,
H202500168,H202500168-P1,life,20000000,10738,,0,
H202500169,H202500169-P1,life,2500000,16763,critical_illness;hospital_cash,0,
H202500169,H202500169-P2,life,2500000,8627,accidental_cover;room_upgrade,0,
H202500171,H202500171-P1,health,1000000,8439,,0,No Cap
H202500171,H202500171-P2,life,10000000,12118,critical_illness;room_upgrade,0,
H202500173,H202500173-P1,motor,500000,7268,,0,
H202500175,H202500175-P1,health,2000000,25245,,20,Single Private Room
H202500176,H202500176-P1,life,20000000,37566,room_upgrade,0,
H202500177,H202500177-P1,health,1000000,13457,,0,Single Private Room
H202500179,H202500179-P1,motor,800000,10278,,0,
H202500180,H202500180-P1,motor,300000,8541,,0,
H202500181,H202500181-P1,health,300000,28000,,0,No Cap
H202500182,H202500182-P1,life,20000000,15917,,0,
H202500182,H202500182-P2,health,300000,17684,accidental_cover,0,Single Private Room
H202500185,H202500185-P1,life,2500000,29838,,0,
H202500186,H202500186-P1,health,500000,14563,room_upgrade;hospital_cash,0,Single Private Room
H202500188,H202500188-P1,life,2500000,31332,critical_illness,0,
H202500190,H202500190-P1,health,300000,24770,accidental_cover,0,Single Private Room
H202500192,H202500192-P1,life,20000000,17736,room_upgrade;critical_illness,0,
H202500193,H202500193-P1,motor,800000,9605,,0,
H202500195,H202500195-P1,life,20000000,32834,,0,
H202500196,H202500196-P1,life,2500000,41657,accidental_cover;hospital_cash,0,
H202500198,H202500198-P1,life,5000000,27976,critical_illness;accidental_cover,0,
H202500201,H202500201-P1,motor,300000,9559,,0,
H202500202,H202500202-P1,motor,500000,8496,,0,
H202500202,H202500202-P2,life,2500000,36581,,0,
H202500205,H202500205-P1,health,500000,10562,room_upgrade,0,Single Private Room
H202500205,H202500205-P2,life,20000000,18126,,0,
H202500206,H202500206-P1,life,10000000,14810,room_upgrade,0,
H202500207,H202500207-P1,health,300000,7952,hospital_cash,0,Single Private Room
H202500208,H202500208-P1,health,1000000,33285,room_upgrade,20,1% of SI
H202500211,H202500211-P1,life,20000000,16453,hospital_cash,0,
H202500211,H202500211-P2,motor,800000,7638,,0,
H202500212,H202500212-P1,health,700000,20895,,20,No Cap
H202500213,H202500213-P1,motor,800000,5753,,0,
H202500215,H202500215-P1,life,20000000,35062,room_upgrade;critical_illness,0,
H202500215,H202500215-P2,life,5000000,41263,hospital_cash,0,
H202500216,H202500216-P1,health,300000,26253,critical_illness;hospital_cash,10,No Cap
H202500217,H202500217-P1,life,2500000,39884,critical_illness;room_upgrade,0,
H202500222,H202500222-P1,motor,800000,5826,,0,
H202500222,H202500222-P2,life,5000000,12498,room_upgrade,0,
H202500223,H202500223-P1,motor,800000,10587,,0,
H202500226,H202500226-P1,health,1000000,7341,,0,1% of SI
H202500228,H202500228-P1,motor,300000,7963,,0,
